Alpha,K,Accuracy
55,80,0.9476190476190476
55,82,0.9470238095238095
55,84,0.9464285714285714
55,86,0.9453571428571429
55,88,0.9452380952380952
55,90,0.9451190476190476
55,92,0.9448809523809524
55,94,0.9446428571428571
55,96,0.9445238095238095
55,98,0.9439285714285715
55,100,0.9436904761904762
55,102,0.9429761904761905
55,104,0.9426190476190476
55,106,0.9422619047619047
55,108,0.9414285714285714
55,110,0.9410714285714286
55,112,0.940952380952381
55,114,0.9411904761904762
55,116,0.9404761904761905
55,118,0.9403571428571429
55,120,0.9397619047619048
55,122,0.9396428571428571
55,124,0.9395238095238095
55,126,0.9391666666666667
55,128,0.9388095238095238
55,130,0.9385714285714286
55,132,0.9382142857142857
55,134,0.9382142857142857
55,136,0.9380952380952381
55,138,0.9377380952380953
55,140,0.9377380952380953
55,142,0.9376190476190476
55,144,0.9371428571428572
55,146,0.9367857142857143
55,148,0.9367857142857143
55,150,0.9367857142857143
60,1,0.9701190476190477
60,2,0.9648809523809524
60,4,0.9721428571428572
60,6,0.9719047619047619
60,8,0.9717857142857143
60,10,0.9709523809523809
60,12,0.969047619047619
60,14,0.9670238095238095
60,16,0.965952380952381
60,18,0.9658333333333333
60,20,0.9641666666666666
60,22,0.9638095238095238
60,24,0.9629761904761904
60,26,0.9617857142857142
60,28,0.9607142857142857
60,30,0.96
60,32,0.9592857142857143
60,34,0.9592857142857143
60,36,0.9583333333333334
60,38,0.9579761904761904
60,40,0.9578571428571429
60,42,0.9564285714285714
60,44,0.9561904761904761
60,46,0.9554761904761905
60,48,0.955
60,50,0.9539285714285715
60,52,0.9532142857142857
60,54,0.9532142857142857
60,56,0.9526190476190476
60,58,0.9516666666666667
60,60,0.9516666666666667
60,62,0.9508333333333333
60,64,0.9502380952380952
60,66,0.9504761904761905
60,68,0.9489285714285715
60,70,0.9492857142857143
60,72,0.9491666666666667
60,74,0.9488095238095238
60,76,0.9483333333333334
60,78,0.9479761904761905
60,80,0.9477380952380953
60,82,0.9471428571428572
60,84,0.9467857142857142
60,86,0.945595238095238
60,88,0.945595238095238
60,90,0.9444047619047619
60,92,0.9446428571428571
60,94,0.9442857142857143
60,96,0.9439285714285715
60,98,0.9438095238095238
60,100,0.9429761904761905
60,102,0.9425
60,104,0.9421428571428572
60,106,0.9420238095238095
60,108,0.940952380952381
60,110,0.9411904761904762
60,112,0.9410714285714286
60,114,0.9408333333333333
60,116,0.9401190476190476
60,118,0.9395238095238095
60,120,0.9394047619047619
60,122,0.9391666666666667
60,124,0.9384523809523809
60,126,0.9376190476190476
60,128,0.9375
60,130,0.9375
60,132,0.9371428571428572
60,134,0.9373809523809524
60,136,0.9369047619047619
60,138,0.9369047619047619
60,140,0.9369047619047619
60,142,0.9365476190476191
60,144,0.9363095238095238
60,146,0.9365476190476191
60,148,0.935952380952381
60,150,0.9355952380952381
65,1,0.9702380952380952
65,2,0.965
65,4,0.9713095238095238
65,6,0.9721428571428572
65,8,0.9720238095238095
65,10,0.97
65,12,0.9707142857142858
65,14,0.968452380952381
65,16,0.9663095238095238
65,18,0.965952380952381
65,20,0.9641666666666666
65,22,0.9627380952380953
65,24,0.9630952380952381
65,26,0.9617857142857142
65,28,0.9611904761904762
65,30,0.958452380952381
65,32,0.9582142857142857
65,34,0.9575
65,36,0.9570238095238095
65,38,0.9569047619047619
65,40,0.9557142857142857
65,42,0.9561904761904761
65,44,0.9554761904761905
65,46,0.9551190476190476
65,48,0.954047619047619
65,50,0.9534523809523809
65,52,0.9533333333333334
65,54,0.9523809523809523
65,56,0.9517857142857142
65,58,0.9514285714285714
65,60,0.9508333333333333
65,62,0.9504761904761905
65,64,0.9498809523809524
65,66,0.9498809523809524
65,68,0.9498809523809524
65,70,0.9489285714285715
65,72,0.9486904761904762
65,74,0.9478571428571428
65,76,0.9477380952380953
65,78,0.9478571428571428
65,80,0.9467857142857142
65,82,0.9464285714285714
65,84,0.945595238095238
65,86,0.9453571428571429
65,88,0.9448809523809524
65,90,0.944047619047619
65,92,0.9436904761904762
65,94,0.9430952380952381
65,96,0.9427380952380953
65,98,0.9430952380952381
65,100,0.9425
65,102,0.9426190476190476
65,104,0.9420238095238095
65,106,0.9411904761904762
65,108,0.9408333333333333
